date,timestamp,block,pool,pair,asset_class,feeTier,base_is_token0,dec0,dec1,price,tick,sqrtPriceX96,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128
2023-06-09,1686268800,99206329,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1799.974674,-201365,3361342611237137709020779,8256507978,0,0
2023-06-10,1686355200,99542417,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1836.447459,-201165,3395227169507893166399392,120989186431655623,1531567403153080217261605965071207635716,2818724857147694884285698512619
2023-06-11,1686441600,99882517,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1751.331991,-201639,3315612926936282499201577,837083835658243160,3318787471507668818089312969359646209686,5664006131149197985923920437000
2023-06-12,1686528000,100221041,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1751.891745,-201636,3316142746150018173062298,2028752422184051185,3464024260880094222019983651362125163743,5919883887121407469007925612873
2023-06-13,1686614400,100561733,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1741.236488,-201697,3306042737709807286672715,2624568511855434684,3718384481567697825654415992387125236416,6340361752158440045543898917089
2023-06-14,1686700800,100900333,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1738.072706,-201715,3303037873905879574395407,2632272932170562010,4006680623171008399903736583556122338847,6836488564198416178735479087954
2023-06-15,1686787200,101239349,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1649.810113,-202237,3218077985930603180438380,837468852330796519,4734558090734296250605552990012507271721,7875774796195316312183994676417
2023-06-16,1686873600,101576909,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1664.747111,-202147,3232613026881165928643179,2561710286925627686,5184220569690858269319123030018106829808,8645855707200436862924626504634
2023-06-17,1686960000,101912941,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1716.002685,-201843,3281999913110920553895018,2127032898676950189,5445646561839754030732233772433148416790,9192509501807796622987134835224
2023-06-18,1687046400,102247081,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1727.412274,-201777,3292892737994297637895321,2699305059621294404,5674298522719229434913322773965481873388,9613691848010536365230955499884
2023-06-19,1687132800,102577497,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1719.598974,-201822,3285437216921048560291363,2541421645549530960,5840834892103335373620419846604776608303,9885827139509894685141731866413
2023-06-20,1687219200,102910913,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1736.127429,-201727,3301188952142735527382160,3127798342277937076,6126016962808519043010598328899675867414,10411030283952411343469221437649
2023-06-21,1687305600,103249137,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1792.024454,-201410,3353911121537524303140230,2581755014370096701,6489751829435609977530702593641842278318,11163055114911015072319065519319
2023-06-22,1687392000,103589241,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1890.009037,-200877,3444383690590262375260967,2836193523417550419,7139616775529907679055478318323793274680,12553252192511434191497269064909
2023-06-23,1687478400,103926481,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1873.645528,-200964,3429440712122295286865410,3803146199278700410,7572070472027993127083793616305051487101,13341629909585508189505364593090
2023-06-24,1687564800,104260149,0xc6962004f452be9203591991d15f6b388e09e8d0,ETH/USDC,eth,500,True,18,6,1892.129209,-200866,3446315067438204354041386,4561293628019677362,7995333729609622862281705905231465517125,14180755940229850188773355703413
