date,timestamp,block,pool,pair,asset_class,feeTier,base_is_token0,dec0,dec1,price,tick,sqrtPriceX96,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128
2024-04-01,1711929600,12570127,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3645.7899,-194307,4783826309940383755683113,6040069290306441,105817134029213844913384663894816853984888,897581179451824340940772148223254
2024-04-02,1712016000,12613327,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3504.1502,-194703,4689979485973202482504728,4738520289888407,107291597625669777963101986715297048380006,901558347454105767149897649278338
2024-04-03,1712102400,12656527,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3276.1907,-195376,4534862981239248891846656,1333077585123855,109410271618709912809847727762404974413019,906607495501205874206790370067599
2024-04-04,1712188800,12699727,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3323.7398,-195232,4567652902239260123396210,2575343884568056,110342864154616517821520935881143298553106,910122789708896645894749151789367
2024-04-05,1712275200,12742927,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3327.9616,-195219,4570552893160214368970966,2493098611173190,111258552612079464835506834891452335307721,913214950951201167904029887691846
2024-04-06,1712361600,12786127,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3320.3477,-195242,4565321492195323586130348,1367511539258687,112261065082470607587613602756091996617049,916437481157969553393724127747706
2024-04-07,1712448000,12829327,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3364.5591,-195110,4595615264419804143108890,1572905591613556,112509939895275737731766960254464350634699,917661178253316314008147276221944
2024-04-08,1712534400,12872527,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3447.6311,-194866,4652002922689577861493744,1928646337116787,113060584437889627966417517807355572834892,920258306355989964179568024306608
2024-04-09,1712620800,12915727,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3701.6669,-194155,4820346437540006081447901,4556231122329663,119830850904944891439608639459800902925402,946825532505980308145560078431367
2024-04-10,1712707200,12958927,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3500.3387,-194714,4687428103609699126304151,4601457378110121,121055546284866527745862659846819507256308,949507338690136947954355329257911
2024-04-11,1712793600,13002127,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3540.2236,-194601,4714058081617168801861483,5544480517042189,122211240959001180855199772249558106339444,953890185456221449112598721997135
2024-04-12,1712880000,13045327,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3505.0241,-194701,4690564244647844525621796,2756934917571129,122921898302850445872064605767224251171341,956098630229722574059476510748013
2024-04-13,1712966400,13088527,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3238.5415,-195492,4508730908658805486038418,1253146558524362,127248976596310935778763354457958744011501,968506955389294656051757084109161
2024-04-14,1713052800,13131727,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3008.5824,-196228,4345707971338423290851659,192955262290930907,134679358351682731566948814889443001416480,988788751258122903123949467540837
2024-04-15,1713139200,13174927,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3153.2562,-195759,4448967289821307656614181,2231328094511278,137309897463209715259675444100174962922861,998127963899671507716653021551754
2024-04-16,1713225600,13218127,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3100.4658,-195927,4411568766502544931419729,2568157506582729,140219046669212607991496754174178005722216,1006773499690822190060916579747531
2024-04-17,1713312000,13261327,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3087.7072,-195969,4402482526597922193322961,3328387765922006,142685840499793396986106310689250591915502,1014200630204028881642502001421623
2024-04-18,1713398400,13304527,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,2982.3659,-196316,4326732522364565756388624,2368533407780164,145114913952968564691997305366023494761382,1020537089616944030809031149847964
2024-04-19,1713484800,13347727,0x6c561b446416e1a00e8e93e221854d6ea4171372,ETH/USDC,eth,3000,True,18,6,3058.2977,-196064,4381466173382919518131606,21756101323705957,147536263356444409133043578695903899926397,1028572860102001543633486884917867
