date,timestamp,block,pool,pair,asset_class,feeTier,base_is_token0,dec0,dec1,price,tick,sqrtPriceX96,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128
2025-08-02,1754092800,139247012,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,3481.975346,194766,1342662124085017125025923688599934,175955479220598901,1854522806993180482438026816509248,718878520377453104791307826324692838421147
2025-08-03,1754179200,139290211,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,3400.956251,195001,1358560743002598420856077424820547,213315076561947065,1857362100049168122849003908863711,719909930316806204091813542101201608571089
2025-08-04,1754265600,139333411,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,3507.210957,194694,1337822941519590950476888565876470,233970749404388813,1859390832290818312316189509255232,720228589026786714712425266538220502938552
2025-08-05,1754352000,139376611,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,3721.48745,194101,1298737272028859463458444136386921,262588373328012465,1862706321254445512866101485789461,720638307417731993508699336111436752866289
2025-08-06,1754438400,139419811,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,3613.008089,194396,1318090156684185337823023482386695,294007622363278233,1865192207632213365775963173244140,721578412981885403677808528136109633244541
2025-08-07,1754524800,139463011,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,3678.62232,194216,1306282121726033854518824973871165,305230028209918053,1867335162246451194379733535290334,722016380179815902863943454408719919963741
2025-08-08,1754611200,139506211,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,3907.621697,193613,1267428088216288621790234149255365,291809467709264478,1870862551433043860108111151278937,722443622660932520661573651855047464349931
2025-08-09,1754697600,139549411,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,4019.250352,193331,1249703696672219076930988958250911,84381941098183785,1874849944695446530848022276643603,723216425708093207186315354272566565611640
2025-08-10,1754784000,139592611,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,4263.030457,192742,1213445753050321944899740626231932,35654439107287569,1882742460767380692552503715461677,724598398730624115938865855473065708379788
2025-08-11,1754870400,139635811,0xc1738d90e2e26c35784a0d3e3d8a9f795074bca4,ETH/USDC,eth,3000,False,6,18,4242.75018,192790,1216342421167077727969756764029296,24595252468735196,1886730353529755165750960540643308,725580962183251078459605424158606862844414
